build_up_id,match_id,match_name,match_date,team,opponent,scorer,minute,second,period,possession,passes_before_goal,attack_duration_seconds,build_up_type,shot_xg,tournament_stage,tournament_progress_score,finishing_efficiency,goal_event_id,match_stage,play_pattern,start_x,start_y,goal_x,goal_y,shot_x,shot_y
3869420_8,3869420,Croatia vs Brazil,2022-12-09,Croatia,Brazil,Mislav Oršić,124,34,5,264,0,0,Quick attack,0.7835,Semi Final,4,0.1724137931034483,3869420_8,Quarter-finals,Other,108.0,40.0,108.0,40.0,108.0,40.0
3869220_1,3869220,Morocco vs Spain,2022-12-06,Morocco,Spain,Abdelhamid Sabiri,120,7,5,224,0,0,Quick attack,0.7835,Semi Final,4,0.1363636363636363,3869220_1,Round of 16,Other,108.0,40.0,108.0,40.0,108.0,40.0
3869220_2,3869220,Morocco vs Spain,2022-12-06,Morocco,Spain,Hakim Ziyech,121,51,5,226,0,0,Quick attack,0.7835,Semi Final,4,0.1363636363636363,3869220_2,Round of 16,Other,108.0,40.0,108.0,40.0,108.0,40.0
3869220_3,3869220,Morocco vs Spain,2022-12-06,Morocco,Spain,Achraf Hakimi Mouh,125,36,5,230,0,0,Quick attack,0.7835,Semi Final,4,0.1363636363636363,3869220_3,Round of 16,Other,108.0,40.0,108.0,40.0,108.0,40.0
3869219_1,3869219,Japan vs Croatia,2022-12-05,Japan,Croatia,Daizen Maeda,42,54,1,60,4,7,Medium build-up,0.45874894,Round of 16,2,0.125,3869219_1,Round of 16,From Corner,120.0,80.0,113.5,44.3,113.5,44.3
3869219_2,3869219,Japan vs Croatia,2022-12-05,Croatia,Japan,Ivan Perišić,54,54,2,87,16,52,Long build-up,0.02684295,Semi Final,4,0.1724137931034483,3869219_2,Round of 16,Regular Play,32.6,54.6,106.0,34.1,106.0,34.1
3869219_3,3869219,Japan vs Croatia,2022-12-05,Croatia,Japan,Nikola Vlašić,120,43,5,226,0,0,Quick attack,0.7835,Semi Final,4,0.1724137931034483,3869219_3,Round of 16,Other,108.1,40.1,108.1,40.1,108.1,40.1
3869219_4,3869219,Japan vs Croatia,2022-12-05,Croatia,Japan,Marcelo Brozović,121,52,5,228,0,0,Quick attack,0.7835,Semi Final,4,0.1724137931034483,3869219_4,Round of 16,Other,108.1,40.1,108.1,40.1,108.1,40.1
3869219_5,3869219,Japan vs Croatia,2022-12-05,Japan,Croatia,Takuma Asano,122,33,5,229,0,0,Quick attack,0.7835,Round of 16,2,0.125,3869219_5,Round of 16,Other,108.1,40.1,108.1,40.1,108.1,40.1
3869219_6,3869219,Japan vs Croatia,2022-12-05,Croatia,Japan,Mario Pašalić,124,28,5,232,0,0,Quick attack,0.7835,Semi Final,4,0.1724137931034483,3869219_6,Round of 16,Other,108.1,40.1,108.1,40.1,108.1,40.1
