build_up_id,match_id,match_date,match_label,team,goal_player,goal_minute,goal_second,period,possession,play_pattern,passes_before_goal,duration_seconds,start_x,start_y,goal_x,goal_y
3857274_1,3857274,2022-11-25,Netherlands vs Ecuador,Netherlands,Cody Mathès Gakpo,5,3,1,11,From Throw In,4,18,55.7,80.0,100.6,31.0
3857274_2,3857274,2022-11-25,Netherlands vs Ecuador,Ecuador,Enner Remberto Valencia Lastra,48,44,2,95,From Counter,2,6,78.7,44.6,116.0,38.1
3857273_1,3857273,2022-11-25,Wales vs Iran,Iran,Roozbeh Cheshmi,97,56,2,187,From Throw In,6,43,48.2,80.0,95.1,37.5
3857273_2,3857273,2022-11-25,Wales vs Iran,Iran,Ramin Rezaeian,100,37,2,190,From Counter,1,3,95.7,27.3,104.8,45.3
3857271_1,3857271,2022-11-21,England vs Iran,England,Jude Bellingham,34,9,1,43,Regular Play,17,68,18.6,65.8,112.0,38.0
3857271_2,3857271,2022-11-21,England vs Iran,England,Bukayo Saka,42,46,1,54,From Corner,2,3,120.0,0.1,104.1,38.5
3857271_3,3857271,2022-11-21,England vs Iran,England,Raheem Sterling,45,17,1,57,Regular Play,7,25,40.8,24.1,111.0,42.8
3857271_4,3857271,2022-11-21,England vs Iran,England,Bukayo Saka,61,26,2,106,Regular Play,2,11,57.4,16.4,105.3,46.3
3857271_5,3857271,2022-11-21,England vs Iran,Iran,Mehdi Taremi,64,33,2,111,From Throw In,6,18,97.9,80.0,109.7,48.0
3857271_6,3857271,2022-11-21,England vs Iran,England,Marcus Rashford,70,51,2,114,From Goal Kick,3,12,26.7,7.2,109.7,47.7
3857271_7,3857271,2022-11-21,England vs Iran,England,Jack Grealish,89,1,2,135,From Free Kick,35,86,64.2,36.9,112.0,39.9
3857271_8,3857271,2022-11-21,England vs Iran,Iran,Mehdi Taremi,102,30,2,153,Other,0,0,108.0,40.0,108.0,40.0
3857268_1,3857268,2022-11-23,Belgium vs Canada,Belgium,Michy Batshuayi Tunga,43,32,1,73,Regular Play,24,89,46.1,50.8,109.0,36.1
3857262_1,3857262,2022-12-02,South Korea vs Portugal,Portugal,Ricardo Jorge Luz Horta,4,53,1,7,From Goal Kick,8,27,7.0,36.1,113.6,47.0
3857262_2,3857262,2022-12-02,South Korea vs Portugal,South Korea,Young-Gwon Kim,26,43,1,36,From Corner,0,2,120.0,0.1,116.7,38.0
3857262_3,3857262,2022-12-02,South Korea vs Portugal,South Korea,Hee-Chan Hwang,90,28,2,186,From Counter,1,1,98.3,52.3,108.3,44.6
3857261_1,3857261,2022-11-29,Wales vs England,England,Marcus Rashford,49,17,2,93,From Free Kick,0,0,96.1,29.3,96.1,29.3
3857261_2,3857261,2022-11-29,Wales vs England,England,Philip Foden,50,53,2,95,Regular Play,1,1,115.8,58.9,114.5,34.1
3857261_3,3857261,2022-11-29,Wales vs England,England,Marcus Rashford,67,40,2,119,From Throw In,14,44,51.9,0.1,109.9,50.3
3857255_1,3857255,2022-12-01,Japan vs Spain,Spain,Álvaro Borja Morata Martín,11,0,1,15,Regular Play,30,106,27.6,23.0,115.3,38.3
3857255_2,3857255,2022-12-01,Japan vs Spain,Japan,Ritsu Doan,47,48,2,68,Regular Play,1,4,93.0,70.1,100.5,55.8
3857255_3,3857255,2022-12-01,Japan vs Spain,Japan,Ao Tanaka,50,14,2,71,From Free Kick,5,13,25.6,10.6,118.7,40.2
