build_up_id,match_id,match_date,match_label,team,goal_player,goal_minute,goal_second,period,possession,play_pattern,passes_before_goal,duration_seconds,start_x,start_y,goal_x,goal_y
3857299_3,3857299,2022-11-28,South Korea vs Ghana,South Korea,Gue-Sung Cho,57,19,2,95,Regular Play,6,28,16.8,6.3,112.6,38.4
3857299_4,3857299,2022-11-28,South Korea vs Ghana,South Korea,Gue-Sung Cho,60,7,2,99,From Throw In,8,29,76.4,0.1,115.5,43.7
3857299_5,3857299,2022-11-28,South Korea vs Ghana,Ghana,Mohammed Kudus,67,52,2,113,From Free Kick,8,22,50.6,61.6,108.4,48.6
3857298_1,3857298,2022-11-24,Portugal vs Ghana,Portugal,Cristiano Ronaldo dos Santos Aveiro,64,20,2,119,Other,0,0,108.1,40.1,108.1,40.1
3857298_2,3857298,2022-11-24,Portugal vs Ghana,Ghana,André Ayew Pelé,72,11,2,134,From Keeper,5,25,56.7,64.4,115.6,39.8
3857298_3,3857298,2022-11-24,Portugal vs Ghana,Portugal,João Félix Sequeira,77,6,2,143,Regular Play,3,8,46.0,11.0,107.5,52.6
3857298_4,3857298,2022-11-24,Portugal vs Ghana,Portugal,Rafael Alexandre Conceição Leão,79,21,2,147,Regular Play,2,8,56.1,43.9,111.7,28.3
3857298_5,3857298,2022-11-24,Portugal vs Ghana,Ghana,Osman Bukari,88,28,2,163,From Throw In,3,13,51.8,80.0,113.5,40.2
3857297_1,3857297,2022-11-26,Poland vs Saudi Arabia,Poland,Piotr Zieliński,38,57,1,68,From Goal Kick,5,14,6.0,36.0,111.9,44.7
3857297_2,3857297,2022-11-26,Poland vs Saudi Arabia,Poland,Robert Lewandowski,81,28,2,157,From Goal Kick,0,13,94.7,68.6,107.2,44.6
3857293_1,3857293,2022-12-02,Ghana vs Uruguay,Uruguay,Giorgian Daniel De Arrascaeta Benedetti,25,30,1,48,Regular Play,5,23,48.0,49.4,118.0,42.7
3857293_2,3857293,2022-12-02,Ghana vs Uruguay,Uruguay,Giorgian Daniel De Arrascaeta Benedetti,31,2,1,57,From Free Kick,10,18,75.4,18.1,110.8,31.2
3857292_1,3857292,2022-12-01,Costa Rica vs Germany,Germany,Serge Gnabry,9,31,1,17,Regular Play,3,9,53.4,13.9,111.9,33.1
