build_up_id,match_id,match_label,team,goal_player,goal_minute,pass_order,player,minute,second,x,y,end_x,end_y,pass_length
3857256_5,3857256,Serbia vs Switzerland,Switzerland,Remo Freuler,47,1,Manuel Obafemi Akanji,47,4,49.4,25.9,43.4,40.0,15.323511346946562
3857256_5,3857256,Serbia vs Switzerland,Switzerland,Remo Freuler,47,2,Fabian Lukas Schär,47,7,47.7,33.0,38.2,23.2,13.64880947189168
3857256_5,3857256,Serbia vs Switzerland,Switzerland,Remo Freuler,47,3,Manuel Obafemi Akanji,47,9,33.9,24.6,40.7,70.7,46.59881972754246
3857256_5,3857256,Serbia vs Switzerland,Switzerland,Remo Freuler,47,4,Silvan Widmer,47,14,45.6,73.4,56.7,70.1,11.580155439371275
3857256_5,3857256,Serbia vs Switzerland,Switzerland,Remo Freuler,47,5,Xherdan Shaqiri,47,17,44.2,69.1,24.7,21.6,51.34685968976097
3857256_5,3857256,Serbia vs Switzerland,Switzerland,Remo Freuler,47,6,Manuel Obafemi Akanji,47,22,28.2,19.7,49.6,3.7,26.720029940102986
3857256_5,3857256,Serbia vs Switzerland,Switzerland,Remo Freuler,47,7,Breel-Donald Embolo,47,33,105.5,57.4,98.7,60.9,7.647875521999555
3857256_5,3857256,Serbia vs Switzerland,Switzerland,Remo Freuler,47,8,Xherdan Shaqiri,47,36,94.4,59.6,110.7,49.5,19.17550520846843
3857256_5,3857256,Serbia vs Switzerland,Switzerland,Remo Freuler,47,9,Ruben Vargas,47,37,110.7,49.5,107.2,41.2,9.007774419910834
3869151_1,3869151,Argentina vs Australia,Argentina,Lionel Andrés Messi Cuccittini,34,1,Alejandro Darío Gómez,34,27,100.4,52.7,109.0,68.4,17.901117283566407
3869151_1,3869151,Argentina vs Australia,Argentina,Lionel Andrés Messi Cuccittini,34,2,Lionel Andrés Messi Cuccittini,34,31,102.9,65.6,95.5,50.8,16.546903033498445
3869151_1,3869151,Argentina vs Australia,Argentina,Lionel Andrés Messi Cuccittini,34,3,Alexis Mac Allister,34,33,97.4,49.2,106.0,52.6,9.247702417357507
3869151_1,3869151,Argentina vs Australia,Argentina,Lionel Andrés Messi Cuccittini,34,4,Nicolás Hernán Otamendi,34,34,106.7,51.5,105.2,49.2,2.7459060435491938
3857257_1,3857257,Australia vs Denmark,Australia,Mathew Leckie,59,1,Harry Souttar,59,46,20.6,34.2,33.5,34.1,12.900387591076477
3857257_1,3857257,Australia vs Denmark,Australia,Mathew Leckie,59,2,Mitchell Thomas Duke,59,47,32.0,33.1,34.3,27.0,6.519202405202649
3857257_1,3857257,Australia vs Denmark,Australia,Mathew Leckie,59,3,Jackson Irvine,59,48,34.3,27.0,39.8,16.2,12.11981848048889
3857257_1,3857257,Australia vs Denmark,Australia,Mathew Leckie,59,4,Riley McGree,59,50,50.3,11.3,79.8,31.3,35.64056677439347
3857258_1,3857258,Brazil vs Serbia,Brazil,Richarlison de Andrade,61,1,Thiago Emiliano da Silva,60,59,45.3,71.0,59.1,59.5,17.963574254585307
3857258_1,3857258,Brazil vs Serbia,Brazil,Richarlison de Andrade,61,2,Marcos Aoás Corrêa,61,1,56.8,57.9,45.0,49.7,14.369411957348841
3857258_1,3857258,Brazil vs Serbia,Brazil,Richarlison de Andrade,61,3,Alex Sandro Lobo Silva,61,4,44.2,37.2,66.6,37.7,22.40557966221806
3857258_1,3857258,Brazil vs Serbia,Brazil,Richarlison de Andrade,61,4,Neymar da Silva Santos Junior,61,7,62.2,33.8,50.1,28.4,13.25028301584536
3857258_1,3857258,Brazil vs Serbia,Brazil,Richarlison de Andrade,61,5,Alex Sandro Lobo Silva,61,8,51.2,30.5,54.8,38.4,8.681589716175255
3857258_1,3857258,Brazil vs Serbia,Brazil,Richarlison de Andrade,61,6,Carlos Henrique Casimiro,61,10,53.2,43.3,62.5,65.4,23.97707238175671
3857258_1,3857258,Brazil vs Serbia,Brazil,Richarlison de Andrade,61,7,Danilo Luiz da Silva,61,14,66.3,71.5,73.7,75.6,8.45990543682375
3857258_1,3857258,Brazil vs Serbia,Brazil,Richarlison de Andrade,61,8,Raphael Dias Belloli,61,18,70.4,73.8,47.3,68.4,23.72277386816306
3857258_1,3857258,Brazil vs Serbia,Brazil,Richarlison de Andrade,61,9,Thiago Emiliano da Silva,61,21,52.5,61.5,54.8,22.0,39.566905362941895
3857258_1,3857258,Brazil vs Serbia,Brazil,Richarlison de Andrade,61,10,Alex Sandro Lobo Silva,61,24,56.8,22.8,58.6,31.0,8.395236744726143
3857258_1,3857258,Brazil vs Serbia,Brazil,Richarlison de Andrade,61,11,Marcos Aoás Corrêa,61,26,58.6,28.7,65.8,13.6,16.728717822953435
3857258_1,3857258,Brazil vs Serbia,Brazil,Richarlison de Andrade,61,12,Alex Sandro Lobo Silva,61,28,69.4,14.6,86.0,6.9,18.2989070711887
3857258_1,3857258,Brazil vs Serbia,Brazil,Richarlison de Andrade,61,13,Vinícius José Paixão de Oliveira Júnior,61,31,86.0,6.9,85.5,30.5,23.605296015936762
3857258_1,3857258,Brazil vs Serbia,Brazil,Richarlison de Andrade,61,14,Carlos Henrique Casimiro,61,36,85.8,32.3,80.1,58.2,26.519803920843763
3857258_1,3857258,Brazil vs Serbia,Brazil,Richarlison de Andrade,61,15,Danilo Luiz da Silva,61,38,81.7,61.2,94.5,68.4,14.686047800548653
3857258_1,3857258,Brazil vs Serbia,Brazil,Richarlison de Andrade,61,16,Raphael Dias Belloli,61,41,95.5,60.5,105.3,47.9,15.962455951387932
3857258_1,3857258,Brazil vs Serbia,Brazil,Richarlison de Andrade,61,17,Thiago Emiliano da Silva,61,46,79.1,55.9,86.5,66.6,13.009611831257688
3857258_1,3857258,Brazil vs Serbia,Brazil,Richarlison de Andrade,61,18,Danilo Luiz da Silva,61,49,86.5,66.6,85.8,55.9,10.72287274940815
3857258_1,3857258,Brazil vs Serbia,Brazil,Richarlison de Andrade,61,19,Carlos Henrique Casimiro,61,51,86.0,54.6,91.7,51.5,6.488451279003336
3857258_1,3857258,Brazil vs Serbia,Brazil,Richarlison de Andrade,61,20,Neymar da Silva Santos Junior,61,56,105.8,30.5,110.0,26.9,5.531726674375736
3857258_2,3857258,Brazil vs Serbia,Brazil,Richarlison de Andrade,72,1,Danilo Luiz da Silva,72,33,29.9,80.0,45.8,75.9,16.420109622045764
3857258_2,3857258,Brazil vs Serbia,Brazil,Richarlison de Andrade,72,2,Alex Sandro Lobo Silva,72,43,58.9,18.6,83.2,7.9,26.55145947024382
3857258_2,3857258,Brazil vs Serbia,Brazil,Richarlison de Andrade,72,3,Vinícius José Paixão de Oliveira Júnior,72,45,82.4,7.7,77.6,13.8,7.762087348130019
3857258_2,3857258,Brazil vs Serbia,Brazil,Richarlison de Andrade,72,4,Neymar da Silva Santos Junior,72,49,86.8,15.9,100.4,10.7,14.560219778561045
3857258_2,3857258,Brazil vs Serbia,Brazil,Richarlison de Andrade,72,5,Vinícius José Paixão de Oliveira Júnior,72,52,109.4,24.8,108.6,42.5,17.718069872308327
3857288_1,3857288,Tunisia vs Australia,Australia,Mitchell Thomas Duke,22,1,Fran Karačić,22,23,45.6,80.0,34.5,39.9,41.607931936110454
3857288_1,3857288,Tunisia vs Australia,Australia,Mitchell Thomas Duke,22,2,Kye Rowles,22,27,32.6,32.9,45.0,2.7,32.64659247149693
3857288_1,3857288,Tunisia vs Australia,Australia,Mitchell Thomas Duke,22,3,Aziz Eraltay Behich,22,29,44.8,2.7,24.0,9.3,21.822007240398392
3857288_1,3857288,Tunisia vs Australia,Australia,Mitchell Thomas Duke,22,4,Kye Rowles,22,32,24.0,9.3,10.1,33.7,28.081488564533046
3857288_1,3857288,Tunisia vs Australia,Australia,Mitchell Thomas Duke,22,5,Mathew Ryan,22,36,10.1,37.8,10.5,55.3,17.504570831642802
3857288_1,3857288,Tunisia vs Australia,Australia,Mitchell Thomas Duke,22,6,Harry Souttar,22,39,13.3,55.8,56.3,49.6,43.44467746456406
3857288_1,3857288,Tunisia vs Australia,Australia,Mitchell Thomas Duke,22,7,Mitchell Thomas Duke,22,41,56.3,49.1,55.7,38.6,10.517128885774863
3857288_1,3857288,Tunisia vs Australia,Australia,Mitchell Thomas Duke,22,8,Riley McGree,22,43,56.1,29.0,80.3,2.9,35.592836357896516
3857267_2,3857267,Ecuador vs Senegal,Ecuador,Moisés Isaac Caicedo Corozo,66,1,Gonzalo Jordy Plata Jiménez,66,56,120.0,80.0,113.7,42.7,37.82829628730324
3869321_1,3869321,Netherlands vs Argentina,Argentina,Nahuel Molina Lucero,34,1,Nahuel Molina Lucero,33,21,64.9,80.0,52.8,77.1,12.442668524074739
3869321_1,3869321,Netherlands vs Argentina,Argentina,Nahuel Molina Lucero,34,2,Cristian Gabriel Romero,33,22,53.3,77.0,37.1,52.6,29.28822288907266
3869321_1,3869321,Netherlands vs Argentina,Argentina,Nahuel Molina Lucero,34,3,Nicolás Hernán Otamendi,33,28,50.1,44.4,63.1,21.7,26.158937287282907
3869321_1,3869321,Netherlands vs Argentina,Argentina,Nahuel Molina Lucero,34,4,Marcos Javier Acuña,33,29,64.7,21.1,38.6,23.5,26.21011255221923
3869321_1,3869321,Netherlands vs Argentina,Argentina,Nahuel Molina Lucero,34,5,Lisandro Martínez,33,32,38.9,23.7,37.5,35.1,11.485643212288986
3869321_1,3869321,Netherlands vs Argentina,Argentina,Nahuel Molina Lucero,34,6,Nicolás Hernán Otamendi,33,35,44.7,45.4,57.5,75.4,32.61656021103391
3869321_1,3869321,Netherlands vs Argentina,Argentina,Nahuel Molina Lucero,34,7,Cristian Gabriel Romero,33,39,65.4,76.1,73.1,76.3,7.702596964660674
3869321_1,3869321,Netherlands vs Argentina,Argentina,Nahuel Molina Lucero,34,8,Lionel Andrés Messi Cuccittini,33,41,73.1,76.3,77.3,69.0,8.421995013059552
3869321_1,3869321,Netherlands vs Argentina,Argentina,Nahuel Molina Lucero,34,9,Nicolás Hernán Otamendi,33,49,47.2,50.3,57.8,69.2,21.66956390885613
3869321_1,3869321,Netherlands vs Argentina,Argentina,Nahuel Molina Lucero,34,10,Nahuel Molina Lucero,33,57,81.5,69.2,74.2,71.1,7.543208866258439
3869321_1,3869321,Netherlands vs Argentina,Argentina,Nahuel Molina Lucero,34,11,Lionel Andrés Messi Cuccittini,34,2,85.6,44.9,103.4,50.6,18.690371852908665
3869321_3,3869321,Netherlands vs Argentina,Netherlands,Wout Weghorst,82,1,Jurriën David Norman Timber,81,43,72.9,60.9,87.2,76.8,21.38457387931777
3869321_3,3869321,Netherlands vs Argentina,Netherlands,Wout Weghorst,82,2,Frenkie de Jong,81,51,81.5,17.3,43.2,36.4,42.79836445473121
3869321_3,3869321,Netherlands vs Argentina,Netherlands,Wout Weghorst,82,3,Andries Noppert,81,56,42.6,38.6,66.1,67.9,37.5598189559002
3869321_3,3869321,Netherlands vs Argentina,Netherlands,Wout Weghorst,82,4,Teun Koopmeiners,82,0,66.5,68.5,86.6,78.0,22.231958978011807
3869321_3,3869321,Netherlands vs Argentina,Netherlands,Wout Weghorst,82,5,Jurriën David Norman Timber,82,12,73.3,50.3,82.4,62.1,14.901342221424224
3869321_3,3869321,Netherlands vs Argentina,Netherlands,Wout Weghorst,82,6,Teun Koopmeiners,82,13,82.4,62.1,91.8,78.6,18.989734068701427
3869321_3,3869321,Netherlands vs Argentina,Netherlands,Wout Weghorst,82,7,Steven Berghuis,82,15,91.8,76.8,108.7,46.4,34.78174808717929
3869321_4,3869321,Netherlands vs Argentina,Netherlands,Wout Weghorst,100,1,Teun Koopmeiners,100,31,96.8,31.8,107.3,35.4,11.1
3869486_1,3869486,Morocco vs Portugal,Morocco,Youssef En-Nesyri,41,1,Achraf Hakimi Mouh,40,49,14.2,67.6,25.5,6.2,62.43116209073798
3869486_1,3869486,Morocco vs Portugal,Morocco,Youssef En-Nesyri,41,2,Yahia Attiyat allah,40,55,37.7,11.9,39.2,4.8,7.256721022610695
3869486_1,3869486,Morocco vs Portugal,Morocco,Youssef En-Nesyri,41,3,Sofiane Boufal,40,57,44.1,3.6,26.9,7.7,17.68191166135608
3869486_1,3869486,Morocco vs Portugal,Morocco,Youssef En-Nesyri,41,4,Sofyan Amrabat,41,1,26.9,8.2,8.7,38.2,35.0890296246562
3869486_1,3869486,Morocco vs Portugal,Morocco,Youssef En-Nesyri,41,5,Yassine Bounou,41,3,8.7,38.2,20.8,64.1,28.58706000973167
3869486_1,3869486,Morocco vs Portugal,Morocco,Youssef En-Nesyri,41,6,Jawad El Yamiq,41,5,20.8,64.1,9.7,43.2,23.66474170575288
3869486_1,3869486,Morocco vs Portugal,Morocco,Youssef En-Nesyri,41,7,Yassine Bounou,41,9,9.7,43.2,21.3,48.3,12.671621837791719
3869486_1,3869486,Morocco vs Portugal,Morocco,Youssef En-Nesyri,41,8,Sofyan Amrabat,41,12,21.3,48.3,47.6,44.3,26.602443496791796
3869486_1,3869486,Morocco vs Portugal,Morocco,Youssef En-Nesyri,41,9,Azzedine Ounahi,41,17,44.7,65.7,51.4,59.2,9.334880824091968
3869486_1,3869486,Morocco vs Portugal,Morocco,Youssef En-Nesyri,41,10,Hakim Ziyech,41,20,50.8,49.6,74.9,6.0,49.81736644986365
3869486_1,3869486,Morocco vs Portugal,Morocco,Youssef En-Nesyri,41,11,Sofiane Boufal,41,25,68.0,17.5,73.1,32.5,15.84329511181307
3869486_1,3869486,Morocco vs Portugal,Morocco,Youssef En-Nesyri,41,12,Azzedine Ounahi,41,28,76.9,29.3,84.2,26.8,7.716216689544168
3869486_1,3869486,Morocco vs Portugal,Morocco,Youssef En-Nesyri,41,13,Sofiane Boufal,41,29,84.2,26.8,80.5,21.0,6.879680225126748
3869486_1,3869486,Morocco vs Portugal,Morocco,Youssef En-Nesyri,41,14,Azzedine Ounahi,41,30,82.6,17.0,92.4,6.0,14.732277488562325
3869486_1,3869486,Morocco vs Portugal,Morocco,Youssef En-Nesyri,41,15,Yahia Attiyat allah,41,34,92.4,6.0,112.6,39.7,39.290329599024744
3869685_2,3869685,Argentina vs France,Argentina,Ángel Fabián Di María Hernández,35,1,Nahuel Molina Lucero,35,12,25.9,71.8,41.6,59.2,20.130822139197395
3869685_2,3869685,Argentina vs France,Argentina,Ángel Fabián Di María Hernández,35,2,Alexis Mac Allister,35,14,41.8,59.0,53.1,61.8,11.641735265844181
3869685_2,3869685,Argentina vs France,Argentina,Ángel Fabián Di María Hernández,35,3,Lionel Andrés Messi Cuccittini,35,15,52.9,61.8,62.5,68.2,11.53776408148477
3869685_2,3869685,Argentina vs France,Argentina,Ángel Fabián Di María Hernández,35,4,Julián Álvarez,35,17,63.2,68.2,99.3,54.9,38.47206778950151
3869685_2,3869685,Argentina vs France,Argentina,Ángel Fabián Di María Hernández,35,5,Alexis Mac Allister,35,20,99.3,54.9,111.8,32.1,26.001730711627637
3869685_4,3869685,Argentina vs France,France,Kylian Mbappé Lottin,80,1,Jules Koundé,80,13,56.5,80.0,38.8,50.8,34.14571715457153
3869685_4,3869685,Argentina vs France,France,Kylian Mbappé Lottin,80,2,Dayotchanculle Upamecano,80,20,55.7,35.2,55.9,11.1,24.10082986123092
3869685_4,3869685,Argentina vs France,France,Kylian Mbappé Lottin,80,3,Eduardo Camavinga,80,22,55.9,11.1,66.8,2.3,14.0089257261219
3869685_4,3869685,Argentina vs France,France,Kylian Mbappé Lottin,80,4,Marcus Thuram,80,24,68.7,2.7,54.6,5.5,14.375326083258077
3869685_4,3869685,Argentina vs France,France,Kylian Mbappé Lottin,80,5,Eduardo Camavinga,80,25,54.6,5.5,44.1,23.7,21.011663427725086
3869685_4,3869685,Argentina vs France,France,Kylian Mbappé Lottin,80,6,Kingsley Coman,80,52,84.8,71.2,78.8,58.3,14.227086841655256
3869685_4,3869685,Argentina vs France,France,Kylian Mbappé Lottin,80,7,Adrien Rabiot,80,54,79.2,54.1,93.1,24.1,33.06372634776667
3869685_4,3869685,Argentina vs France,France,Kylian Mbappé Lottin,80,8,Kylian Mbappé Lottin,80,56,93.1,24.1,94.8,36.3,12.317873193047568
3869685_4,3869685,Argentina vs France,France,Kylian Mbappé Lottin,80,9,Marcus Thuram,80,57,94.8,36.3,104.8,30.1,11.766052864066179
3869685_5,3869685,Argentina vs France,Argentina,Lionel Andrés Messi Cuccittini,107,1,Leandro Daniel Paredes,107,46,43.2,46.2,63.1,70.8,31.641270518106563
3869685_5,3869685,Argentina vs France,Argentina,Lionel Andrés Messi Cuccittini,107,2,Gonzalo Ariel Montiel,107,50,64.2,74.0,94.2,56.4,34.7816043333254
3869685_5,3869685,Argentina vs France,Argentina,Lionel Andrés Messi Cuccittini,107,3,Lautaro Javier Martínez,107,53,94.2,56.4,91.2,58.8,3.8418745424597085
3869685_5,3869685,Argentina vs France,Argentina,Lionel Andrés Messi Cuccittini,107,4,Lionel Andrés Messi Cuccittini,107,53,91.2,58.8,95.4,49.4,10.295630140987
3869685_5,3869685,Argentina vs France,Argentina,Lionel Andrés Messi Cuccittini,107,5,Enzo Fernandez,107,54,95.4,49.4,109.3,56.9,15.79430277030296
3857260_1,3857260,Saudi Arabia vs Mexico,Mexico,Henry Josué Martín Mex,46,1,Luis Gerardo Chávez Magallón,46,50,120.0,0.1,113.6,33.2,33.71305385158693
3857260_1,3857260,Saudi Arabia vs Mexico,Mexico,Henry Josué Martín Mex,46,2,César Jasib Montes Castro,46,51,113.9,33.0,116.7,40.2,7.725283166331188
3857260_3,3857260,Saudi Arabia vs Mexico,Saudi Arabia,Salem Mohammed Al Dawsari,94,1,Abdulelah Al Amri,94,27,64.4,46.5,96.6,57.4,33.99485255152608
3857260_3,3857260,Saudi Arabia vs Mexico,Saudi Arabia,Salem Mohammed Al Dawsari,94,2,Firas Tariq Nasser Al Albirakan,94,31,102.8,60.2,92.7,64.5,10.97724920005007
3857260_3,3857260,Saudi Arabia vs Mexico,Saudi Arabia,Salem Mohammed Al Dawsari,94,3,Abdulrahman Al-Obood,94,33,92.3,63.8,99.6,70.9,10.183319694480778
3857260_3,3857260,Saudi Arabia vs Mexico,Saudi Arabia,Salem Mohammed Al Dawsari,94,4,Firas Tariq Nasser Al Albirakan,94,35,100.8,70.5,98.7,62.8,7.981227975693967
3857260_3,3857260,Saudi Arabia vs Mexico,Saudi Arabia,Salem Mohammed Al Dawsari,94,5,Salem Mohammed Al Dawsari,94,38,98.6,54.6,101.2,44.0,10.914210919713806
3857260_3,3857260,Saudi Arabia vs Mexico,Saudi Arabia,Salem Mohammed Al Dawsari,94,6,Hattan Babhir,94,38,101.2,44.0,105.0,48.0,5.517245689653486
3857264_1,3857264,Poland vs Argentina,Argentina,Alexis Mac Allister,45,1,Lionel Andrés Messi Cuccittini,45,0,60.0,40.0,49.5,38.9,10.557461816175326
3857264_1,3857264,Poland vs Argentina,Argentina,Alexis Mac Allister,45,2,Enzo Fernandez,45,2,49.3,39.9,44.3,50.4,11.629703349613008
3857264_1,3857264,Poland vs Argentina,Argentina,Alexis Mac Allister,45,3,Rodrigo Javier De Paul,45,3,44.3,50.4,30.0,38.9,18.350476833041693
3857264_1,3857264,Poland vs Argentina,Argentina,Alexis Mac Allister,45,4,Cristian Gabriel Romero,45,6,29.6,38.9,30.6,20.0,18.926436537288257
3857264_1,3857264,Poland vs Argentina,Argentina,Alexis Mac Allister,45,5,Nicolás Hernán Otamendi,45,10,30.6,23.5,24.9,46.8,23.987079855622273
3857264_1,3857264,Poland vs Argentina,Argentina,Alexis Mac Allister,45,6,Cristian Gabriel Romero,45,15,26.6,45.9,33.6,19.6,27.215620514697065
3857264_1,3857264,Poland vs Argentina,Argentina,Alexis Mac Allister,45,7,Nicolás Hernán Otamendi,45,19,42.8,12.1,61.7,1.6,21.620823296072704
3857264_1,3857264,Poland vs Argentina,Argentina,Alexis Mac Allister,45,8,Marcos Javier Acuña,45,22,62.6,2.0,42.0,6.4,21.064662351910606
3857264_1,3857264,Poland vs Argentina,Argentina,Alexis Mac Allister,45,9,Nicolás Hernán Otamendi,45,24,40.8,6.6,35.9,14.8,9.552486587271401
3857264_1,3857264,Poland vs Argentina,Argentina,Alexis Mac Allister,45,10,Enzo Fernandez,45,26,33.5,19.2,27.0,50.5,31.967796295647283
3857264_1,3857264,Poland vs Argentina,Argentina,Alexis Mac Allister,45,11,Cristian Gabriel Romero,45,33,54.0,58.5,74.7,53.0,21.418216545735085
3857264_1,3857264,Poland vs Argentina,Argentina,Alexis Mac Allister,45,12,Lionel Andrés Messi Cuccittini,45,35,68.7,54.3,65.7,64.3,10.44030650891055
3857264_1,3857264,Poland vs Argentina,Argentina,Alexis Mac Allister,45,13,Rodrigo Javier De Paul,45,39,67.2,69.0,48.6,62.6,19.670282153543198
3857264_1,3857264,Poland vs Argentina,Argentina,Alexis Mac Allister,45,14,Cristian Gabriel Romero,45,45,56.1,63.7,75.1,67.7,19.416487838947592
3857264_1,3857264,Poland vs Argentina,Argentina,Alexis Mac Allister,45,15,Nahuel Molina Lucero,45,47,80.3,68.6,92.7,73.5,13.3330416634765
3857264_1,3857264,Poland vs Argentina,Argentina,Alexis Mac Allister,45,16,Ángel Fabián Di María Hernández,45,50,102.1,72.0,110.4,71.6,8.309632964216902
3857264_1,3857264,Poland vs Argentina,Argentina,Alexis Mac Allister,45,17,Nahuel Molina Lucero,45,52,114.3,69.9,106.0,46.7,24.64000811688178
3857264_2,3857264,Poland vs Argentina,Argentina,Julián Álvarez,66,1,Nicolás Alejandro Tagliafico,65,50,70.9,4.6,64.0,14.5,12.067311216671264
3857264_2,3857264,Poland vs Argentina,Argentina,Julián Álvarez,66,2,Leandro Daniel Paredes,65,52,62.9,17.3,53.5,40.1,24.661711213944585
3857264_2,3857264,Poland vs Argentina,Argentina,Julián Álvarez,66,3,Cristian Gabriel Romero,65,55,54.2,42.7,60.2,47.6,7.746612162745724
3857264_2,3857264,Poland vs Argentina,Argentina,Julián Álvarez,66,4,Enzo Fernandez,65,57,62.3,53.4,68.5,64.5,12.714165328483032
3857264_2,3857264,Poland vs Argentina,Argentina,Julián Álvarez,66,5,Rodrigo Javier De Paul,66,0,70.9,69.2,75.1,63.5,7.080254232723564
3857264_2,3857264,Poland vs Argentina,Argentina,Julián Álvarez,66,6,Lionel Andrés Messi Cuccittini,66,1,74.9,63.9,71.5,68.0,5.326349594234315
3857264_2,3857264,Poland vs Argentina,Argentina,Julián Álvarez,66,7,Rodrigo Javier De Paul,66,2,71.9,68.4,71.1,56.2,12.226201372462343
3857264_2,3857264,Poland vs Argentina,Argentina,Julián Álvarez,66,8,Lionel Andrés Messi Cuccittini,66,4,70.6,55.8,66.4,41.2,15.192103211866346
3857264_2,3857264,Poland vs Argentina,Argentina,Julián Álvarez,66,9,Leandro Daniel Paredes,66,5,66.4,41.2,62.5,42.3,4.0521599178709655
3857264_2,3857264,Poland vs Argentina,Argentina,Julián Álvarez,66,10,Enzo Fernandez,66,7,60.6,39.1,55.2,21.1,18.79255171603899
3857264_2,3857264,Poland vs Argentina,Argentina,Julián Álvarez,66,11,Nicolás Hernán Otamendi,66,10,55.9,19.4,73.6,2.7,24.334748817277728
3857264_2,3857264,Poland vs Argentina,Argentina,Julián Álvarez,66,12,Nicolás Alejandro Tagliafico,66,12,74.1,3.6,68.5,11.5,9.683491106000973
3857264_2,3857264,Poland vs Argentina,Argentina,Julián Álvarez,66,13,Leandro Daniel Paredes,66,14,67.0,14.5,57.8,25.8,14.57154761856132
3857264_2,3857264,Poland vs Argentina,Argentina,Julián Álvarez,66,14,Enzo Fernandez,66,17,56.1,30.7,61.7,60.0,29.830353668704635
3857264_2,3857264,Poland vs Argentina,Argentina,Julián Álvarez,66,15,Rodrigo Javier De Paul,66,19,62.5,61.5,80.7,73.5,21.800000000000004
3857264_2,3857264,Poland vs Argentina,Argentina,Julián Álvarez,66,16,Nahuel Molina Lucero,66,22,80.7,73.7,69.8,69.9,11.543396380615201
3857264_2,3857264,Poland vs Argentina,Argentina,Julián Álvarez,66,17,Rodrigo Javier De Paul,66,24,70.0,68.6,69.6,50.2,18.404347312523736
3857264_2,3857264,Poland vs Argentina,Argentina,Julián Álvarez,66,18,Lionel Andrés Messi Cuccittini,66,30,83.7,55.3,109.8,64.7,27.74112470683191
3857264_2,3857264,Poland vs Argentina,Argentina,Julián Álvarez,66,19,Nahuel Molina Lucero,66,34,111.3,63.0,93.7,54.3,19.632880583347923
3857264_2,3857264,Poland vs Argentina,Argentina,Julián Álvarez,66,20,Rodrigo Javier De Paul,66,37,93.5,52.3,105.1,64.1,16.546903033498438
3857264_2,3857264,Poland vs Argentina,Argentina,Julián Álvarez,66,21,Nahuel Molina Lucero,66,40,104.4,66.0,84.8,47.8,26.74696244435993
3857264_2,3857264,Poland vs Argentina,Argentina,Julián Álvarez,66,22,Leandro Daniel Paredes,66,43,82.6,45.1,87.8,50.6,7.5690157880665065
3857264_2,3857264,Poland vs Argentina,Argentina,Julián Álvarez,66,23,Alexis Mac Allister,66,45,87.1,51.9,92.9,64.5,13.870832707519767
3857264_2,3857264,Poland vs Argentina,Argentina,Julián Álvarez,66,24,Rodrigo Javier De Paul,66,48,95.2,64.5,86.9,58.1,10.480935072788112
3857264_2,3857264,Poland vs Argentina,Argentina,Julián Álvarez,66,25,Alexis Mac Allister,66,50,87.3,55.3,78.3,41.4,16.55928742428248
3857264_2,3857264,Poland vs Argentina,Argentina,Julián Álvarez,66,26,Leandro Daniel Paredes,66,52,77.1,38.2,86.0,22.6,17.960233851484233
3857264_2,3857264,Poland vs Argentina,Argentina,Julián Álvarez,66,27,Enzo Fernandez,66,56,97.4,29.5,103.6,29.5,6.199999999999989
