match_id,match_label,team,opponent,possession,formation,player,period,minute,second,shot_type,shot_context,is_penalty_shootout,is_standard_shot,shot_outcome,is_goal,shot_xg,play_pattern,passes_before_shot,pass_category,duration_seconds,players_involved,start_x,start_y,start_zone,shot_x,shot_y,entry_method,passes_to_entry,time_to_entry,fast_entry_before_shot
3857296,Croatia vs Belgium,Belgium,Croatia,65,4231,Dries Mertens,1,41,14,Open Play,Open play / other,False,False,Wayward,0,0.108029366,Regular Play,28,10+,69.0,9,70.5,20.0,Mittelfeld,116.9,49.2,Kurzer Pass,1.0,0.0,True
3857296,Croatia vs Belgium,Croatia,Belgium,69,433,Borna Sosa,1,44,42,Open Play,Open play / other,False,False,Off T,0,0.024362085,Regular Play,13,10+,55.0,8,5.2,38.7,Defensives Drittel,94.9,25.7,Carry,9.0,41.0,False
3857296,Croatia vs Belgium,Croatia,Belgium,77,433,Ivan Perišić,1,48,47,Open Play,Throw-in,False,True,Wayward,0,0.08771692,From Throw In,8,7-9,18.0,7,89.6,0.1,Offensives Drittel,108.5,38.0,Carry,2.0,3.0,True
3857296,Croatia vs Belgium,Croatia,Belgium,77,433,Josip Juranović,1,48,56,Open Play,Throw-in,False,True,Off T,0,0.041306578,From Throw In,8,7-9,27.0,7,89.6,0.1,Offensives Drittel,103.1,51.5,Carry,2.0,3.0,True
3857296,Croatia vs Belgium,Belgium,Croatia,79,4231,Yannick Ferreira Carrasco,2,47,54,Open Play,Corner,False,True,Wayward,0,0.026916144,From Corner,0,0-3,3.0,2,120.0,80.0,Offensives Drittel,100.9,28.3,Bereits im offensiven Drittel,0.0,0.0,True
3857296,Croatia vs Belgium,Belgium,Croatia,79,4231,Romelu Lukaku Menama,2,48,2,Open Play,Corner,False,True,Saved,0,0.1189759,From Corner,2,0-3,11.0,4,120.0,80.0,Offensives Drittel,117.5,34.2,Bereits im offensiven Drittel,0.0,0.0,True
3857296,Croatia vs Belgium,Croatia,Belgium,81,433,Mateo Kovačić,2,49,15,Open Play,Open play / other,False,False,Saved,0,0.07960723,From Keeper,18,10+,59.0,10,7.2,41.2,Defensives Drittel,103.9,29.2,Carry,13.0,37.0,False
3857296,Croatia vs Belgium,Croatia,Belgium,82,433,Borna Sosa,2,49,54,Open Play,Corner,False,True,Off T,0,0.024012579,From Corner,3,0-3,8.0,5,120.0,0.1,Offensives Drittel,94.7,35.3,Bereits im offensiven Drittel,0.0,0.0,True
3857296,Croatia vs Belgium,Belgium,Croatia,83,4231,Kevin De Bruyne,2,50,38,Open Play,Open play / other,False,False,Off T,0,0.048855886,From Goal Kick,12,10+,37.0,9,6.0,36.0,Defensives Drittel,100.9,32.5,Carry,10.0,29.0,False
3857296,Croatia vs Belgium,Croatia,Belgium,86,433,Marcelo Brozović,2,53,8,Open Play,Open play / other,False,False,Saved,0,0.10219261,Regular Play,18,10+,73.0,10,22.8,27.8,Defensives Drittel,100.6,37.7,Kurzer Pass,9.0,31.0,False
3857296,Croatia vs Belgium,Croatia,Belgium,87,433,Luka Modrić,2,53,42,Open Play,Throw-in,False,True,Saved,0,0.071706615,From Throw In,10,10+,26.0,7,111.9,0.1,Offensives Drittel,105.6,52.9,Kurzer Pass,8.0,17.0,False
3857296,Croatia vs Belgium,Belgium,Croatia,97,4231,Yannick Ferreira Carrasco,2,59,47,Open Play,Open play / other,False,False,Blocked,0,0.09935363,From Keeper,13,10+,46.0,9,5.0,37.7,Defensives Drittel,112.8,36.3,Carry,12.0,42.0,False
3857296,Croatia vs Belgium,Belgium,Croatia,97,4231,Romelu Lukaku Menama,2,59,49,Open Play,Open play / other,False,False,Post,0,0.19960539,From Keeper,13,10+,48.0,10,5.0,37.7,Defensives Drittel,110.7,45.1,Carry,12.0,42.0,False
3857296,Croatia vs Belgium,Belgium,Croatia,100,4231,Romelu Lukaku Menama,2,61,50,Open Play,Open play / other,False,False,Off T,0,0.30245224,Regular Play,11,10+,37.0,10,82.6,37.7,Offensives Drittel,113.1,42.1,Carry,3.0,14.0,True
3857296,Croatia vs Belgium,Croatia,Belgium,107,433,Luka Modrić,2,67,9,Open Play,Free kick,False,True,Saved,0,0.07160131,From Free Kick,14,10+,47.0,7,46.3,44.6,Mittelfeld,106.7,39.0,Kurzer Pass,6.0,23.0,False
3857296,Croatia vs Belgium,Belgium,Croatia,111,4231,Kevin De Bruyne,2,68,11,Open Play,Open play / other,False,False,Saved,0,0.0061408128,From Goal Kick,4,4-6,15.0,5,6.0,36.0,Defensives Drittel,111.9,60.4,Langer Pass,3.0,9.0,True
3857296,Croatia vs Belgium,Belgium,Croatia,133,4231,Jan Vertonghen,2,77,41,Open Play,Corner,False,True,Blocked,0,0.07045005,From Corner,1,0-3,2.0,2,120.0,80.0,Offensives Drittel,112.6,36.5,Bereits im offensiven Drittel,0.0,0.0,True
3857296,Croatia vs Belgium,Belgium,Croatia,146,4231,Thomas Meunier,2,86,9,Open Play,Corner,False,True,Blocked,0,0.04308796,From Corner,10,10+,60.0,8,120.0,80.0,Offensives Drittel,110.5,53.1,Carry,1.0,18.0,False
3857296,Croatia vs Belgium,Belgium,Croatia,146,4231,Romelu Lukaku Menama,2,86,9,Open Play,Corner,False,True,Off T,0,0.4909717,From Corner,10,10+,60.0,9,120.0,80.0,Offensives Drittel,115.5,43.8,Carry,1.0,18.0,False
3857296,Croatia vs Belgium,Belgium,Croatia,152,4231,Romelu Lukaku Menama,2,89,41,Open Play,Open play / other,False,False,Saved,0,0.5721495,Regular Play,5,4-6,27.0,6,22.5,60.1,Defensives Drittel,117.4,37.3,Carry,3.0,14.0,True
3857274,Netherlands vs Ecuador,Netherlands,Ecuador,11,3412,Cody Mathès Gakpo,1,5,3,Open Play,Throw-in,False,True,Goal,1,0.059259485,From Throw In,4,4-6,18.0,6,55.7,80.0,Mittelfeld,100.6,31.0,Kurzer Pass,3.0,11.0,True
3857274,Netherlands vs Ecuador,Ecuador,Netherlands,18,3421,Enner Remberto Valencia Lastra,1,10,39,Open Play,Free kick,False,True,Blocked,0,0.062208217,From Free Kick,4,4-6,11.0,5,75.1,22.5,Mittelfeld,107.0,30.0,Langer Pass,2.0,3.0,True
3857274,Netherlands vs Ecuador,Ecuador,Netherlands,37,3421,Moisés Isaac Caicedo Corozo,1,23,32,Open Play,Throw-in,False,True,Blocked,0,0.030668529,From Throw In,1,0-3,17.0,6,19.9,80.0,Defensives Drittel,94.8,37.9,No entry found,,,False
