build_up_id,match_id,match_date,match_label,team,goal_player,goal_minute,goal_second,period,possession,play_pattern,formation,passes_before_goal,duration_seconds,players_involved,start_x,start_y,start_third,goal_x,goal_y,attack_type
3869321_8,3869321,2022-12-09,Netherlands vs Argentina,Argentina,Gonzalo Ariel Montiel,124,15,5,230,Other,352,0,0,1,108.1,40.1,Offensives Drittel,108.1,40.1,Sehr direkt (0–3)
3869321_9,3869321,2022-12-09,Netherlands vs Argentina,Netherlands,Wout Weghorst,124,59,5,231,Other,3412,0,0,1,108.1,40.1,Offensives Drittel,108.1,40.1,Sehr direkt (0–3)
3869321_10,3869321,2022-12-09,Netherlands vs Argentina,Netherlands,Luuk de Jong,126,40,5,233,Other,3412,0,0,1,108.1,40.1,Offensives Drittel,108.1,40.1,Sehr direkt (0–3)
3869321_11,3869321,2022-12-09,Netherlands vs Argentina,Argentina,Lautaro Javier Martínez,127,42,5,234,Other,352,0,0,1,108.1,40.1,Offensives Drittel,108.1,40.1,Sehr direkt (0–3)
3869486_1,3869486,2022-12-10,Morocco vs Portugal,Morocco,Youssef En-Nesyri,41,36,1,76,From Free Kick,4141,15,47,9,14.2,67.6,Defensives Drittel,112.6,39.7,Langer Aufbau (9+)
3869685_1,3869685,2022-12-18,Argentina vs France,Argentina,Lionel Andrés Messi Cuccittini,22,24,1,32,Other,433,0,0,1,108.0,40.0,Offensives Drittel,108.0,40.0,Sehr direkt (0–3)
3869685_2,3869685,2022-12-18,Argentina vs France,Argentina,Ángel Fabián Di María Hernández,35,22,1,52,From Counter,433,5,10,5,25.9,71.8,Defensives Drittel,111.8,32.1,Trainerregel (4–5)
3869685_3,3869685,2022-12-18,Argentina vs France,France,Kylian Mbappé Lottin,79,24,2,163,Other,4231,0,0,1,108.0,40.0,Offensives Drittel,108.0,40.0,Sehr direkt (0–3)
3869685_4,3869685,2022-12-18,Argentina vs France,France,Kylian Mbappé Lottin,80,59,2,165,From Throw In,4231,9,46,7,56.5,80.0,Mittleres Drittel,104.8,30.1,Langer Aufbau (9+)
3869685_5,3869685,2022-12-18,Argentina vs France,Argentina,Lionel Andrés Messi Cuccittini,107,58,4,228,Regular Play,433,5,12,5,43.2,46.2,Mittleres Drittel,116.6,43.0,Trainerregel (4–5)
3869685_6,3869685,2022-12-18,Argentina vs France,France,Kylian Mbappé Lottin,117,5,4,238,Other,4231,0,0,1,108.0,40.0,Offensives Drittel,108.0,40.0,Sehr direkt (0–3)
3869685_7,3869685,2022-12-18,Argentina vs France,France,Kylian Mbappé Lottin,120,13,5,248,Other,4231,0,0,1,108.1,40.1,Offensives Drittel,108.1,40.1,Sehr direkt (0–3)
3869685_8,3869685,2022-12-18,Argentina vs France,Argentina,Lionel Andrés Messi Cuccittini,121,2,5,249,Other,433,0,0,1,108.1,40.1,Offensives Drittel,108.1,40.1,Sehr direkt (0–3)
3869685_9,3869685,2022-12-18,Argentina vs France,Argentina,Paulo Bruno Exequiel Dybala,122,27,5,251,Other,433,0,0,1,108.1,40.1,Offensives Drittel,108.1,40.1,Sehr direkt (0–3)
3869685_10,3869685,2022-12-18,Argentina vs France,Argentina,Leandro Daniel Paredes,124,16,5,253,Other,433,0,0,1,108.1,40.1,Offensives Drittel,108.1,40.1,Sehr direkt (0–3)
3869685_11,3869685,2022-12-18,Argentina vs France,France,Randal Kolo Muani,125,9,5,254,Other,4231,0,0,1,108.1,40.1,Offensives Drittel,108.1,40.1,Sehr direkt (0–3)
3869685_12,3869685,2022-12-18,Argentina vs France,Argentina,Gonzalo Ariel Montiel,125,57,5,255,Other,433,0,0,1,108.1,40.1,Offensives Drittel,108.1,40.1,Sehr direkt (0–3)
3857260_1,3857260,2022-11-30,Saudi Arabia vs Mexico,Mexico,Henry Josué Martín Mex,46,52,2,112,From Corner,4231,2,2,3,120.0,0.1,Offensives Drittel,116.7,40.2,Sehr direkt (0–3)
3857260_2,3857260,2022-11-30,Saudi Arabia vs Mexico,Mexico,Luis Gerardo Chávez Magallón,51,56,2,120,From Free Kick,4231,0,0,1,86.7,41.3,Offensives Drittel,86.7,41.3,Sehr direkt (0–3)
3857260_3,3857260,2022-11-30,Saudi Arabia vs Mexico,Saudi Arabia,Salem Mohammed Al Dawsari,94,40,2,199,Regular Play,442,6,13,5,64.4,46.5,Mittleres Drittel,110.9,45.2,Mittlerer Aufbau (6–8)
3857264_1,3857264,2022-11-30,Poland vs Argentina,Argentina,Alexis Mac Allister,45,53,2,81,From Kick Off,433,17,53,9,60.0,40.0,Mittleres Drittel,106.0,46.7,Langer Aufbau (9+)
3857264_2,3857264,2022-11-30,Poland vs Argentina,Argentina,Julián Álvarez,66,57,2,107,From Free Kick,433,27,67,10,70.9,4.6,Mittleres Drittel,106.0,33.5,Langer Aufbau (9+)
3857266_1,3857266,2022-11-26,France vs Denmark,France,Kylian Mbappé Lottin,60,25,2,106,Regular Play,4231,5,16,3,19.6,73.1,Defensives Drittel,110.8,31.3,Trainerregel (4–5)
3857266_2,3857266,2022-11-26,France vs Denmark,Denmark,Andreas Christensen,67,15,2,119,From Corner,343,1,2,2,120.0,80.0,Offensives Drittel,113.0,37.6,Sehr direkt (0–3)
3857266_3,3857266,2022-11-26,France vs Denmark,France,Kylian Mbappé Lottin,85,9,2,144,From Goal Kick,4231,9,35,8,7.0,44.1,Defensives Drittel,117.8,36.5,Langer Aufbau (9+)
3857289_1,3857289,2022-11-26,Argentina vs Mexico,Argentina,Lionel Andrés Messi Cuccittini,63,32,2,105,From Goal Kick,442,7,24,5,7.0,36.1,Defensives Drittel,94.9,37.4,Mittlerer Aufbau (6–8)
3857289_2,3857289,2022-11-26,Argentina vs Mexico,Argentina,Enzo Fernandez,86,39,2,144,From Corner,442,2,5,3,120.0,0.1,Offensives Drittel,106.5,22.8,Sehr direkt (0–3)
3857269_1,3857269,2022-11-28,Brazil vs Switzerland,Brazil,Carlos Henrique Casimiro,82,15,2,146,Regular Play,433,9,29,7,26.3,8.5,Defensives Drittel,106.3,29.4,Langer Aufbau (9+)
3857294_1,3857294,2022-11-29,Netherlands vs Qatar,Netherlands,Cody Mathès Gakpo,25,55,1,60,From Goal Kick,3412,6,15,6,6.0,36.0,Defensives Drittel,103.3,39.8,Mittlerer Aufbau (6–8)
3857294_2,3857294,2022-11-29,Netherlands vs Qatar,Netherlands,Frenkie de Jong,48,55,2,148,From Goal Kick,3412,14,59,9,7.0,44.1,Defensives Drittel,117.6,40.3,Langer Aufbau (9+)
3869254_1,3869254,2022-12-06,Portugal vs Switzerland,Portugal,Gonçalo Matias Ramos,16,43,1,33,From Throw In,433,2,5,3,100.4,0.1,Offensives Drittel,111.3,27.5,Sehr direkt (0–3)
3869254_2,3869254,2022-12-06,Portugal vs Switzerland,Portugal,Kléper Laveran Lima Ferreira,32,35,1,58,From Corner,433,1,2,2,120.0,80.0,Offensives Drittel,114.3,40.0,Sehr direkt (0–3)
3869254_3,3869254,2022-12-06,Portugal vs Switzerland,Portugal,Gonçalo Matias Ramos,50,5,2,91,Regular Play,433,3,23,4,47.4,43.3,Mittleres Drittel,115.8,44.4,Sehr direkt (0–3)
3869254_4,3869254,2022-12-06,Portugal vs Switzerland,Portugal,Raphaël Adelino José Guerreiro,54,55,2,96,From Free Kick,433,7,16,5,25.8,14.4,Defensives Drittel,110.9,32.4,Mittlerer Aufbau (6–8)
3869254_5,3869254,2022-12-06,Portugal vs Switzerland,Switzerland,Manuel Obafemi Akanji,57,5,2,98,From Corner,352,0,2,1,120.0,80.0,Offensives Drittel,118.7,35.4,Sehr direkt (0–3)
3869254_6,3869254,2022-12-06,Portugal vs Switzerland,Portugal,Gonçalo Matias Ramos,66,12,2,115,From Goal Kick,433,3,15,4,6.0,36.0,Defensives Drittel,112.6,45.8,Sehr direkt (0–3)
3869254_7,3869254,2022-12-06,Portugal vs Switzerland,Portugal,Rafael Alexandre Conceição Leão,91,12,2,157,From Free Kick,433,18,52,9,7.3,33.0,Defensives Drittel,105.0,21.7,Langer Aufbau (9+)
3869118_1,3869118,2022-12-04,England vs Senegal,England,Jordan Brian Henderson,38,0,1,60,From Goal Kick,433,7,15,8,6.0,36.0,Defensives Drittel,107.6,38.0,Mittlerer Aufbau (6–8)
3869118_2,3869118,2022-12-04,England vs Senegal,England,Harry Kane,47,17,1,73,Regular Play,433,2,5,3,63.5,44.1,Mittleres Drittel,104.3,50.7,Sehr direkt (0–3)
3869118_3,3869118,2022-12-04,England vs Senegal,England,Bukayo Saka,56,43,2,96,Regular Play,433,4,11,3,43.9,28.2,Mittleres Drittel,111.0,35.9,Trainerregel (4–5)
3869684_1,3869684,2022-12-17,Croatia vs Morocco,Croatia,Joško Gvardiol,6,28,1,11,From Free Kick,4231,2,2,3,84.6,21.0,Offensives Drittel,108.8,38.0,Sehr direkt (0–3)
3869684_2,3869684,2022-12-17,Croatia vs Morocco,Morocco,Achraf Dari,8,17,1,13,From Free Kick,433,0,3,1,87.7,74.4,Offensives Drittel,115.6,39.0,Sehr direkt (0–3)
3869684_3,3869684,2022-12-17,Croatia vs Morocco,Croatia,Mislav Oršić,41,43,1,71,Regular Play,4231,16,46,11,10.8,51.9,Defensives Drittel,106.5,21.3,Langer Aufbau (9+)
3869519_1,3869519,2022-12-13,Argentina vs Croatia,Argentina,Lionel Andrés Messi Cuccittini,33,27,1,54,Other,442,0,0,1,108.0,40.0,Offensives Drittel,108.0,40.0,Sehr direkt (0–3)
3869519_2,3869519,2022-12-13,Argentina vs Croatia,Argentina,Julián Álvarez,38,26,1,61,From Counter,442,1,11,2,21.2,47.8,Defensives Drittel,112.7,37.4,Sehr direkt (0–3)
3869519_3,3869519,2022-12-13,Argentina vs Croatia,Argentina,Julián Álvarez,68,46,2,127,From Throw In,442,3,14,3,42.5,80.0,Mittleres Drittel,113.3,45.4,Sehr direkt (0–3)
3869354_1,3869354,2022-12-10,England vs France,France,Aurélien Djani Tchouaméni,16,22,1,44,Regular Play,4231,6,20,5,41.4,14.3,Mittleres Drittel,92.5,43.5,Mittlerer Aufbau (6–8)
3869354_2,3869354,2022-12-10,England vs France,England,Harry Kane,53,27,2,100,Other,433,0,0,1,108.1,40.1,Offensives Drittel,108.1,40.1,Sehr direkt (0–3)
3869354_3,3869354,2022-12-10,England vs France,France,Olivier Giroud,77,10,2,151,From Corner,4231,3,8,4,88.0,40.3,Offensives Drittel,114.7,36.4,Sehr direkt (0–3)
3869552_1,3869552,2022-12-14,France vs Morocco,France,Theo Bernard François Hernández,4,40,1,6,From Throw In,4231,16,60,9,61.1,0.1,Mittleres Drittel,115.7,31.5,Langer Aufbau (9+)
3869552_2,3869552,2022-12-14,France vs Morocco,France,Randal Kolo Muani,78,49,2,126,From Goal Kick,4231,6,24,7,45.2,27.5,Mittleres Drittel,115.6,43.8,Mittlerer Aufbau (6–8)
3869420_1,3869420,2022-12-09,Croatia vs Brazil,Brazil,Neymar da Silva Santos Junior,105,35,3,229,From Throw In,4411,7,17,6,92.0,80.0,Offensives Drittel,116.5,47.2,Mittlerer Aufbau (6–8)
3869420_2,3869420,2022-12-09,Croatia vs Brazil,Croatia,Bruno Petković,116,2,4,246,Regular Play,433,5,30,6,55.3,11.6,Mittleres Drittel,103.2,38.6,Trainerregel (4–5)
3869420_3,3869420,2022-12-09,Croatia vs Brazil,Croatia,Nikola Vlašić,120,3,5,258,Other,433,0,0,1,108.0,40.0,Offensives Drittel,108.0,40.0,Sehr direkt (0–3)
3869420_4,3869420,2022-12-09,Croatia vs Brazil,Croatia,Lovro Majer,121,38,5,260,Other,433,0,0,1,108.0,40.0,Offensives Drittel,108.0,40.0,Sehr direkt (0–3)
3869420_5,3869420,2022-12-09,Croatia vs Brazil,Brazil,Carlos Henrique Casimiro,122,17,5,261,Other,4411,0,0,1,108.0,40.0,Offensives Drittel,108.0,40.0,Sehr direkt (0–3)
3869420_6,3869420,2022-12-09,Croatia vs Brazil,Croatia,Luka Modrić,123,6,5,262,Other,433,0,0,1,108.0,40.0,Offensives Drittel,108.0,40.0,Sehr direkt (0–3)
3869420_7,3869420,2022-12-09,Croatia vs Brazil,Brazil,Pedro Guilherme Abreu dos Santos,123,49,5,263,Other,4411,0,0,1,108.0,40.0,Offensives Drittel,108.0,40.0,Sehr direkt (0–3)
3869420_8,3869420,2022-12-09,Croatia vs Brazil,Croatia,Mislav Oršić,124,34,5,264,Other,433,0,0,1,108.0,40.0,Offensives Drittel,108.0,40.0,Sehr direkt (0–3)
3869220_1,3869220,2022-12-06,Morocco vs Spain,Morocco,Abdelhamid Sabiri,120,7,5,224,Other,433,0,0,1,108.0,40.0,Offensives Drittel,108.0,40.0,Sehr direkt (0–3)
3869220_2,3869220,2022-12-06,Morocco vs Spain,Morocco,Hakim Ziyech,121,51,5,226,Other,433,0,0,1,108.0,40.0,Offensives Drittel,108.0,40.0,Sehr direkt (0–3)
3869220_3,3869220,2022-12-06,Morocco vs Spain,Morocco,Achraf Hakimi Mouh,125,36,5,230,Other,433,0,0,1,108.0,40.0,Offensives Drittel,108.0,40.0,Sehr direkt (0–3)
3869219_1,3869219,2022-12-05,Japan vs Croatia,Japan,Daizen Maeda,42,54,1,60,From Corner,343,4,7,4,120.0,80.0,Offensives Drittel,113.5,44.3,Trainerregel (4–5)
3869219_2,3869219,2022-12-05,Japan vs Croatia,Croatia,Ivan Perišić,54,54,2,87,Regular Play,433,16,52,8,32.6,54.6,Defensives Drittel,106.0,34.1,Langer Aufbau (9+)
3869219_3,3869219,2022-12-05,Japan vs Croatia,Croatia,Nikola Vlašić,120,43,5,226,Other,433,0,0,1,108.1,40.1,Offensives Drittel,108.1,40.1,Sehr direkt (0–3)
3869219_4,3869219,2022-12-05,Japan vs Croatia,Croatia,Marcelo Brozović,121,52,5,228,Other,433,0,0,1,108.1,40.1,Offensives Drittel,108.1,40.1,Sehr direkt (0–3)
3869219_5,3869219,2022-12-05,Japan vs Croatia,Japan,Takuma Asano,122,33,5,229,Other,343,0,0,1,108.1,40.1,Offensives Drittel,108.1,40.1,Sehr direkt (0–3)
3869219_6,3869219,2022-12-05,Japan vs Croatia,Croatia,Mario Pašalić,124,28,5,232,Other,433,0,0,1,108.1,40.1,Offensives Drittel,108.1,40.1,Sehr direkt (0–3)
3869253_1,3869253,2022-12-05,Brazil vs South Korea,Brazil,Vinícius José Paixão de Oliveira Júnior,6,41,1,13,From Free Kick,4231,13,49,7,40.5,54.3,Mittleres Drittel,110.0,29.9,Langer Aufbau (9+)
3869253_2,3869253,2022-12-05,Brazil vs South Korea,Brazil,Neymar da Silva Santos Junior,12,18,1,17,Other,4231,0,0,1,108.0,40.0,Offensives Drittel,108.0,40.0,Sehr direkt (0–3)
3869253_3,3869253,2022-12-05,Brazil vs South Korea,Brazil,Richarlison de Andrade,28,13,1,46,From Corner,4231,6,30,6,93.4,32.1,Offensives Drittel,110.7,43.3,Mittlerer Aufbau (6–8)
3869253_4,3869253,2022-12-05,Brazil vs South Korea,Brazil,Lucas Tolentino Coelho de Lima,35,45,1,55,From Throw In,4231,6,20,6,10.9,0.1,Defensives Drittel,110.0,44.8,Mittlerer Aufbau (6–8)
3869253_5,3869253,2022-12-05,Brazil vs South Korea,South Korea,Seung-Ho Paik,75,47,2,136,From Free Kick,442,0,3,1,89.5,66.9,Offensives Drittel,93.7,39.8,Sehr direkt (0–3)
3869152_1,3869152,2022-12-04,France vs Poland,France,Olivier Giroud,43,28,1,73,From Throw In,4231,11,26,8,94.8,80.0,Offensives Drittel,105.6,32.3,Langer Aufbau (9+)
3869152_2,3869152,2022-12-04,France vs Poland,France,Kylian Mbappé Lottin,73,56,2,121,Regular Play,4231,4,16,5,8.8,39.3,Defensives Drittel,104.8,28.6,Trainerregel (4–5)
3869152_3,3869152,2022-12-04,France vs Poland,France,Kylian Mbappé Lottin,90,5,2,143,Regular Play,4231,8,23,5,51.8,22.2,Mittleres Drittel,106.2,25.2,Mittlerer Aufbau (6–8)
3869152_4,3869152,2022-12-04,France vs Poland,Poland,Robert Lewandowski,98,36,2,152,Other,4141,0,0,1,108.0,40.0,Offensives Drittel,108.0,40.0,Sehr direkt (0–3)
3869117_1,3869117,2022-12-03,Netherlands vs United States,Netherlands,Memphis Depay,9,31,1,20,Regular Play,3412,21,63,11,80.5,25.7,Offensives Drittel,104.9,43.7,Langer Aufbau (9+)
3869117_2,3869117,2022-12-03,Netherlands vs United States,Netherlands,Daley Blind,45,36,1,72,From Throw In,3412,4,9,4,106.1,80.0,Offensives Drittel,107.6,38.5,Trainerregel (4–5)
3869117_3,3869117,2022-12-03,Netherlands vs United States,United States,Haji Wright,75,20,2,125,From Corner,433,4,6,4,82.4,48.5,Offensives Drittel,115.1,45.2,Trainerregel (4–5)
3869117_4,3869117,2022-12-03,Netherlands vs United States,Netherlands,Denzel Dumfries,80,28,2,137,From Keeper,3412,8,27,6,15.0,34.8,Defensives Drittel,113.5,44.3,Mittlerer Aufbau (6–8)
3857270_1,3857270,2022-11-28,Portugal vs Uruguay,Portugal,Bruno Miguel Borges Fernandes,53,40,2,94,Regular Play,41212,14,42,10,7.3,40.0,Defensives Drittel,99.4,14.6,Langer Aufbau (9+)
3857270_2,3857270,2022-11-28,Portugal vs Uruguay,Portugal,Bruno Miguel Borges Fernandes,92,19,2,161,Other,41212,0,0,1,108.0,40.0,Offensives Drittel,108.0,40.0,Sehr direkt (0–3)
3857263_1,3857263,2022-11-27,Spain vs Germany,Spain,Álvaro Borja Morata Martín,61,33,2,131,From Goal Kick,433,16,44,10,7.0,36.1,Defensives Drittel,113.2,34.3,Langer Aufbau (9+)
3857263_2,3857263,2022-11-27,Spain vs Germany,Germany,Niclas Füllkrug,82,25,2,169,From Counter,4231,2,5,3,79.5,75.6,Mittleres Drittel,110.8,51.9,Sehr direkt (0–3)
3857259_1,3857259,2022-11-28,Cameroon vs Serbia,Cameroon,Jean-Charles Castelletto,28,7,1,52,From Corner,433,1,2,2,120.0,0.1,Offensives Drittel,118.5,43.2,Sehr direkt (0–3)
3857259_2,3857259,2022-11-28,Cameroon vs Serbia,Serbia,Strahinja Pavlović,45,22,1,80,From Free Kick,3421,1,2,2,86.0,26.7,Offensives Drittel,110.7,42.8,Sehr direkt (0–3)
3857259_3,3857259,2022-11-28,Cameroon vs Serbia,Serbia,Sergej Milinković-Savić,47,52,1,83,From Throw In,3421,3,14,3,64.7,0.1,Mittleres Drittel,99.6,46.7,Sehr direkt (0–3)
3857259_4,3857259,2022-11-28,Cameroon vs Serbia,Serbia,Aleksandar Mitrović,52,26,2,105,Regular Play,3421,4,7,4,95.5,27.8,Offensives Drittel,113.6,40.2,Trainerregel (4–5)
3857259_5,3857259,2022-11-28,Cameroon vs Serbia,Cameroon,Vincent Paté Aboubakar,62,52,2,122,From Goal Kick,433,4,20,5,6.0,44.0,Defensives Drittel,104.4,49.0,Trainerregel (4–5)
3857259_6,3857259,2022-11-28,Cameroon vs Serbia,Cameroon,Jean-Eric Maxim Choupo-Moting,65,25,2,124,From Counter,433,2,6,3,40.5,48.9,Mittleres Drittel,111.0,37.0,Sehr direkt (0–3)
3857295_1,3857295,2022-11-27,Japan vs Costa Rica,Costa Rica,Keysher Fuller Spence,80,8,2,143,Regular Play,343,1,2,2,92.3,47.7,Offensives Drittel,102.6,47.5,Sehr direkt (0–3)
3857283_1,3857283,2022-11-27,Belgium vs Morocco,Morocco,Romain Saïss,72,37,2,128,From Free Kick,433,1,1,2,114.1,3.6,Offensives Drittel,118.0,36.4,Sehr direkt (0–3)
3857283_2,3857283,2022-11-27,Belgium vs Morocco,Morocco,Zakaria Aboukhlal,91,51,2,156,From Goal Kick,433,4,12,4,6.0,36.0,Defensives Drittel,110.3,46.8,Trainerregel (4–5)
3857284_1,3857284,2022-11-23,Germany vs Japan,Germany,İlkay Gündoğan,32,35,1,56,Other,4231,0,0,1,108.0,40.0,Offensives Drittel,108.0,40.0,Sehr direkt (0–3)
3857284_2,3857284,2022-11-23,Germany vs Japan,Japan,Ritsu Doan,74,46,2,141,From Throw In,4231,12,48,8,38.3,80.0,Defensives Drittel,112.1,41.5,Langer Aufbau (9+)
3857284_3,3857284,2022-11-23,Germany vs Japan,Japan,Takuma Asano,82,42,2,151,From Free Kick,4231,1,6,2,39.2,71.1,Defensives Drittel,117.7,50.2,Sehr direkt (0–3)
3857282_1,3857282,2022-11-21,United States vs Wales,United States,Timothy Weah,35,12,1,60,From Counter,433,6,12,6,26.2,21.8,Defensives Drittel,107.7,37.8,Mittlerer Aufbau (6–8)
3857282_2,3857282,2022-11-21,United States vs Wales,Wales,Gareth Frank Bale,81,33,2,144,Other,352,0,0,1,108.0,40.0,Offensives Drittel,108.0,40.0,Sehr direkt (0–3)
3857286_1,3857286,2022-11-20,Qatar vs Ecuador,Ecuador,Enner Remberto Valencia Lastra,15,49,1,25,Other,442,0,0,1,108.1,40.1,Offensives Drittel,108.1,40.1,Sehr direkt (0–3)
3857286_2,3857286,2022-11-20,Qatar vs Ecuador,Ecuador,Enner Remberto Valencia Lastra,30,44,1,49,Regular Play,442,2,3,3,112.6,71.8,Offensives Drittel,109.6,38.0,Sehr direkt (0–3)
3857301_1,3857301,2022-11-25,Qatar vs Senegal,Senegal,Boulaye Dia,40,20,1,70,Regular Play,4231,10,39,6,58.2,43.4,Mittleres Drittel,107.2,33.3,Langer Aufbau (9+)
3857301_2,3857301,2022-11-25,Qatar vs Senegal,Senegal,Famara Diedhiou,47,51,2,96,From Corner,4231,1,1,2,120.0,80.0,Offensives Drittel,112.5,48.1,Sehr direkt (0–3)
3857301_3,3857301,2022-11-25,Qatar vs Senegal,Qatar,Mohammed Muntari,77,39,2,147,From Free Kick,352,6,30,6,64.0,39.1,Mittleres Drittel,110.1,38.7,Mittlerer Aufbau (6–8)
3857301_4,3857301,2022-11-25,Qatar vs Senegal,Senegal,Cheikh Ahmadou Bamba Mbacke Dieng,83,6,2,155,From Throw In,4231,4,12,4,55.7,73.3,Mittleres Drittel,107.8,45.3,Trainerregel (4–5)
3857300_1,3857300,2022-11-22,Argentina vs Saudi Arabia,Argentina,Lionel Andrés Messi Cuccittini,9,15,1,10,Other,442,0,0,1,108.0,40.0,Offensives Drittel,108.0,40.0,Sehr direkt (0–3)
3857300_2,3857300,2022-11-22,Argentina vs Saudi Arabia,Saudi Arabia,Saleh Khalid Al Shehri,47,40,2,78,From Free Kick,4141,5,18,6,49.9,24.7,Mittleres Drittel,108.0,29.6,Trainerregel (4–5)
3857300_3,3857300,2022-11-22,Argentina vs Saudi Arabia,Saudi Arabia,Salem Mohammed Al Dawsari,52,44,2,88,Regular Play,4141,4,31,4,66.4,2.7,Mittleres Drittel,102.4,25.3,Trainerregel (4–5)
3857299_1,3857299,2022-11-28,South Korea vs Ghana,Ghana,Mohamed Salisu,23,43,1,38,From Free Kick,4231,0,2,1,92.9,2.9,Offensives Drittel,115.5,37.9,Sehr direkt (0–3)
3857299_2,3857299,2022-11-28,South Korea vs Ghana,Ghana,Mohammed Kudus,33,49,1,51,From Goal Kick,4231,31,94,10,7.0,44.1,Defensives Drittel,113.1,41.8,Langer Aufbau (9+)
